,property_type,barrio,rooms,price,lat,lon,distancia_minima_escuela (m)
59120,Departamento,Villa Devoto,1.0,109000.0,-34.6006877,-58.5143934,35.934440900461574
59122,Departamento,Villa Lugano,4.0,75000.0,-34.6825674,-58.46658860000001,141.0816134533081
59124,Departamento,San Cristobal,1.0,79000.0,-34.6191207,-58.39161110000001,182.44191714207724
59125,Departamento,Villa Urquiza,1.0,109000.0,-34.5730687,-58.475172,212.2110090162275
59127,Departamento,Villa Urquiza,3.0,149800.0,-34.5776565,-58.4677828,164.59207802161774
59128,Departamento,Villa Urquiza,1.0,85000.0,-34.574108700000004,-58.4841306,16.86998172107605
59130,Departamento,Villa Urquiza,1.0,117000.0,-34.5720847,-58.4884304,71.32246751751353
59131,Departamento,Villa Urquiza,1.0,111000.0,-34.5705179,-58.4914578,161.68864155783035
59133,Departamento,Villa Urquiza,1.0,127000.0,-34.574920014899995,-58.4717031125,276.9906503914432
59134,Departamento,Parque Patricios,1.0,78500.0,-34.6347917,-58.4000715,117.9126288880907
59136,Departamento,Villa del Parque,1.0,102000.0,-34.59772873,-58.49261093,47.03528412848117
59137,Departamento,Villa del Parque,1.0,90000.0,-34.60859179999999,-58.4829286,241.2828344215951
59138,Departamento,Villa del Parque,1.0,85000.0,-34.60859179999999,-58.4829286,241.2828344215951
59140,Departamento,Parque Centenario,1.0,85000.0,-34.6053838,-58.43065229999999,178.7838867535108
59141,Departamento,Parque Centenario,1.0,98000.0,-34.612623,-58.43655370000001,38.96313815206016
59142,Departamento,Parque Centenario,1.0,105000.0,-34.606830200000005,-58.4349556,273.4862331356327
59143,Departamento,Villa Pueyrredón,1.0,105000.0,-34.59244919,-58.50126266,229.12176808290056
59168,PH,Almagro,2.0,78000.0,-34.613412,-58.413092000000006,77.44915523501275
59170,PH,Palermo,2.0,130000.0,-34.59243529999999,-58.4425179,207.49784445629786
59171,PH,Congreso,2.0,117000.0,-34.6070598,-58.3949243,45.83016777666801
59172,PH,Balvanera,2.0,117000.0,-34.6070598,-58.3949243,45.83016777666801
59173,PH,Balvanera,2.0,78000.0,-34.613412,-58.413092000000006,77.44915523501275
59175,PH,Agronomía,2.0,139000.0,-34.591889,-58.49129420000001,55.8528099665208
59177,PH,Villa General Mitre,2.0,130000.0,-34.614325,-58.462293,189.8199978739654
59179,Oficina,Almagro,2.0,118000.0,-34.6076321431,-58.4425480943,207.75221405092506
59180,Oficina,Almagro,2.0,118000.0,-34.6076321431,-58.4425480943,207.75221405092506
59182,Oficina,Caballito,2.0,118000.0,-34.6069960237,-58.4421965537,151.48563163217764
